element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ng,,,,
extentUnits,document,model extent unit,ng,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Blood,compartment,blood,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Liver,compartment,liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Gut,compartment,gut,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Feaces,compartment,feaces,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
AGut,species,amount of chemical in gut,ng,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00538,
AGut,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
ABlood,species,amount of chemical in blood,ng,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00549,
ABlood,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
ALiver,species,amount of chemical in liver,ng,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00539,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
AFeaces,species,amount of chemical in feaces,ng,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00275,
AFeaces,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
BW,parameter,body weight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VGc,parameter,,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00509,
VGc,parameter,,,rdf,BQB_IS,,
VLc,parameter,,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00078,
VLc,parameter,,,rdf,BQB_IS,,
VBc,parameter,,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00104,
VBc,parameter,,,rdf,BQB_IS,,
QCc,parameter,,L/h/kg^0.75,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00013,
QCc,parameter,,,rdf,BQB_IS,,
QGc,parameter,,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00513,
QGc,parameter,,,rdf,BQB_IS,,
QLc,parameter,,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00025,
QLc,parameter,,,rdf,BQB_IS,,
PCLiver,parameter,,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00577,
PCLiver,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
PCGut,parameter,,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00572,
PCGut,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
Free,parameter,,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00591,
Free,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
Kbiliaryc,parameter,,L/(kg.h),rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00233,
Kbiliaryc,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
KfeacesC,parameter,,L/(kg.h),rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00230,
KfeacesC,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
QC,parameter,,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00013,
QC,parameter,,,rdf,BQB_IS,,
QL,parameter,,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00024,
QL,parameter,,,rdf,BQB_IS,,
QG,parameter,,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00531,
QG,parameter,,,rdf,BQB_IS,,
Kbiliary,parameter,,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00233,
Kbiliary,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
Kfeaces,parameter,,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00230,
Kfeaces,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35703,
