idModelInstance,Parameter,Value,Unit,Description,Reference
simple_dermal_PARAM,BW,70.0,kg,body weight,
simple_dermal_PARAM,BSA,190.0,dm^2,body surface area,
simple_dermal_PARAM,VBody,1.0,L/kg,total body density,
simple_dermal_PARAM,VBc,0.074,L/kg,blood as fraction of total bodyweight,
simple_dermal_PARAM,VLc,0.0257,L/kg,liver as fraction of total bodyweight,
simple_dermal_PARAM,FSkinExposed,0.1,dimensionless,fraction of skin exposed,
simple_dermal_PARAM,SkinThickness,0.1,dm,skin thickness,
simple_dermal_PARAM,QCC,15.0,L/h/kg^0.75,cardiac output as function of body weight,
simple_dermal_PARAM,QRc,0.715,dimensionless,fraction of blood flow to rest-of-body,
simple_dermal_PARAM,QLc,0.227,dimensionless,fraction of blood flow to liver,
simple_dermal_PARAM,QSkc,0.058,dimensionless,fraction of blood flow to skin,
simple_dermal_PARAM,PCLiver,2.0,dimensionless,partition coefficient liver:blood,
simple_dermal_PARAM,PCRest,1.2,dimensionless,partition coefficient rest:blood,
simple_dermal_PARAM,PCSkin,0.1,dimensionless,partition coefficient skin:blood,
simple_dermal_PARAM,CLUrine,10.0,L/h,urinary excretion rate,
