element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model substances unit,ug,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Blood,compartment,blood,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Liver,compartment,liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Rest,compartment,rest-of-body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Alveolar,compartment,alveolar air,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00448,
Urine,compartment,urine,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
ABlood,species,amount of chemical in blood,ug,rdf,BQM_IS,,
ALiver,species,amount of chemical in liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ARest,species,amount of chemical in rest-of-body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
AAlv,species,amount of chemical in alveolar air,ug,rdf,BQM_IS,,
AUrine,species,amount of chemical in urine,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00272,
BW,parameter,body weight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
VAlvc,parameter,alveolar air volume as fraction of bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00114,
VLc,parameter,liver volume as fraction of bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00078,
VBc,parameter,blood volume as fraction of bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00107,
VRc,parameter,rest-of-body volume as fraction of bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00106,
QCC,parameter,cardiac output as function of body weight,L/h/kg^0.75,rdf,BQM_IS,,
QRc,parameter,fraction of blood flow to rest-of-body,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00051,
QLc,parameter,fraction of blood flow to liver,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00025,
PCAir,parameter,partition coefficient blood over air,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00165,
PCLiver,parameter,partition coefficient liver:blood,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00577,
PCRest,parameter,partition coefficient rest:blood,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00585,
CLUrine,parameter,urinary excretion rate,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00534,
QC,parameter,cardiac output,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00012,
QL,parameter,blood flow to liver,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00024,
QR,parameter,blood flow to rest-of-body,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00050,
Falv,parameter,alveolar ventilation rate,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00114,
